Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
4/4/1975 21:00,185.88,0.25,6254,110,0.302,0.095,9.3,-9,101,-9,-9,-9,,4
4/5/1975 3:00,186.13,0.25,5915,106,0.295,0.105,9.2,-9,102,-9,-9,-9,,4
4/5/1975 9:00,186.38,0.25,5842,97.9,0.246,0.1,9,-9,102,-9,-9,-9,,4
4/5/1975 15:00,186.63,0.25,5805,86.3,0.246,0.06,8.4,-9,102,-9,-9,-9,,4
4/5/1975 21:00,186.88,0.25,5694,88.5,0.21,0.085,8.3,-9,102,-9,-9,-9,,4
4/6/1975 3:00,187.13,0.25,5513,80.2,0.127,0.1,8.2,-9,102,-9,-9,-9,,4
4/6/1975 9:00,187.38,0.25,5441,73.9,0.211,0.1,7.7,-9,102,-9,-9,-9,,4
4/6/1975 15:00,187.63,0.25,5263,74.3,0.239,0.11,7.5,-9,55,-9,-9,-9,,4
4/6/1975 21:00,187.88,0.25,5053,80.4,0.225,0.11,7.5,-9,52,-9,-9,-9,,4
4/7/1975 3:00,188.13,0.25,4812,71.7,0.211,0.08,7.4,-9,63,-9,-9,-9,,4
4/7/1975 9:00,188.38,0.25,4711,72.6,0.211,0.085,7.4,-9,62,-9,-9,-9,,4
4/7/1975 15:00,188.63,0.25,4609,75.3,0.218,0.085,7.2,-9,60,-9,-9,-9,,4
4/7/1975 21:00,188.88,0.25,4444,74.7,0.225,0.105,7.3,-9,63,-9,-9,-9,,4
4/8/1975 3:00,189.13,0.25,4379,73.5,0.211,0.11,7.3,-9,64,-9,-9,-9,,4
4/8/1975 9:00,189.38,0.156,4346,67.8,0.2,0.1,7.2,-9,67,-9,-9,-9,,4
4/8/1975 10:30,189.44,0.156,4346,63.3,0.41,0.1,6.48,-9,58,-9,-9,-9,,4
4/8/1975 16:30,189.69,0.25,4249,67.9,0.24,0.09,6.35,-9,61,-9,-9,-9,,4
4/8/1975 22:30,189.94,0.25,4090,76,0.23,0.09,6.25,-9,62,-9,-9,-9,,4
4/9/1975 4:30,190.19,0.25,3963,64.7,0.23,0.08,6.2,-9,60,-9,-9,-9,,4
4/9/1975 10:30,190.44,0.25,3900,63.7,0.22,0.08,6.26,-9,60,-9,-9,-9,,4
4/9/1975 16:30,190.69,0.25,3352,69.8,0.22,0.09,6,-9,58,-9,-9,-9,,4
4/9/1975 22:30,190.94,0.25,3586,63.3,0.22,0.08,5.92,-9,60,-9,-9,-9,,4
4/10/1975 4:30,191.19,0.25,3586,57.9,0.21,0.09,5.9,-9,58,-9,-9,-9,,4
4/10/1975 10:30,191.44,0.25,3219,53.7,0.2,0.08,6,-9,64,-9,-9,-9,,4
4/10/1975 16:30,191.69,0.25,3319,50,0.2,0.08,5.8,-9,58,-9,-9,-9,,4
4/10/1975 22:30,191.94,0.25,3093,58.3,0.2,0.08,5.92,-9,58,-9,-9,-9,,4
4/11/1975 4:30,192.19,0.25,3061,54.2,0.2,0.08,5.98,-9,58,-9,-9,-9,,4
4/11/1975 10:30,192.44,0.25,2966,45.7,0.19,0.08,5.9,-9,58,-9,-9,-9,,4
4/11/1975 16:30,192.69,0.25,2843,49.5,0.19,0.08,5.8,-9,56,-9,-9,-9,,4
4/11/1975 22:30,192.94,0.25,2320,54.3,0.19,0.08,5.7,-9,56,-9,-9,-9,,4
4/12/1975 4:30,193.19,0.25,2546,47.5,0.18,0.08,5.85,-9,56,-9,-9,-9,,4
4/12/1975 10:30,193.44,0.25,2546,49.5,0.18,0.08,5.78,-9,56,-9,-9,-9,,4
4/12/1975 16:30,193.69,0.25,2320,52.9,0.19,0.07,5.68,-9,57,-9,-9,-9,,4
4/12/1975 22:30,193.94,0.25,2518,61.6,0.2,0.07,5.75,-9,59,-9,-9,-9,,4
4/13/1975 4:30,194.19,0.25,2293,55.5,0.18,0.07,5.65,-9,59,-9,-9,-9,,4
4/13/1975 10:30,194.44,0.25,2293,53.2,0.18,0.08,5.55,-9,60,-9,-9,-9,,4
4/13/1975 16:30,194.69,0.25,2240,50.6,0.18,0.07,5.6,-9,60,-9,-9,-9,,4
4/13/1975 22:30,194.94,0.25,2213,56.3,0.19,0.06,5.65,-9,61,-9,-9,-9,,4
4/14/1975 4:30,195.19,0.25,2003,58.1,0.19,0.08,5.62,-9,62,-9,-9,-9,,4
4/14/1975 10:30,195.44,0.25,2080,49.4,0.19,-9,5.45,-9,61,-9,-9,-9,,4
4/14/1975 16:30,195.69,0.25,1853,56.4,0.2,-9,5.48,-9,62,-9,-9,-9,,4
4/14/1975 22:30,195.94,0.25,1803,50.9,0.19,-9,5.45,-9,64,-9,-9,-9,,4
4/15/1975 4:30,196.19,0.344,1953,42.2,0.18,0.1,5.48,-9,62,-9,-9,-9,,4
